publisher_id,publisher_name
292,자유미디어
293,Simon Spotlight/Nickelodeon
294,Libros Para Ninos
295,미디어줌
296,탑필름
297,아이브엔터테인먼트
298,스타비젼
299,창우사
300,Dial Books for Young Readers
301,Thames & Hudson Ltd
302,Penguin Workshop
303,케이미라클모닝
304,그라픽네트
305,Red Chair Press
306,HarperCollins Children's Books
307,Harpercollins Reference
308,Bloomsbury Publishing (UK)
309,Bloomsbury Childrens Books
310,Bloomsbury USA
311,Oxford University Press
312,Dreamscape Media
313,Katherine Tegen Books
314,Bloomsbury USA Academic
315,W. W. Norton & Company
316,福建少年兒童出版社 복건소년인동출판사
317,人民文學出版社 인민문학출판사
318,河北?育出版社
319,Ediciones Catedra S.A.
320,Booket
321,Scribe Publications
322,부크크(bookk)
323,시사패스
324,도서출판 아시아
325,DK Publishing (Dorling Kindersley)
326,유니버설픽쳐스
327,Hodder & Stoughton
328,IDW Publishing
329,Tundra Books
330,지식과감성#
331,The Five Mile Press Pty Ltd
332,꿈미(꿈이있는미래)
333,기독교문서선교회(CLC)
334,남산당
335,Random House Studio
336,봄알람
337,예문
338,Crown Books for Young Readers
339,Tilbury House Publishers
340,Kids Can Press
341,Orion Childrens
342,Sweet Cherry Publishing
343,SWEET CHERRY PUBLISHING LTD
344,Egmont UK Ltd
345,Disney-Hyperion
346,Houghton Mifflin
347,Floris Books
348,Wide Eyed Editions
349,Princeton Architectural Press
350,Bounce Bookshelf
351,Puffin
352,Phaidon Press Ltd
353,SIMON & SCHUSTER PB
354,Egmont Publishing
355,Nancy Paulsen Books
356,"Farrar, Straus & Giroux Inc"
357,Sourcebooks Young Readers
358,Sky Pony
359,Once Upon a Page Press
360,Harbour Publishing
361,Philomel Books
362,Where Madi Goes
363,Rockridge Press
364,HarperCollins Publishers Inc
365,Amulet Books
366,Disney Press
367,G.P. Putnam's Sons Books for Young Readers
368,Bethany House Publishers
369,Puppy Dogs & Ice Cream Inc
370,USBORNE EXPORT
371,"Little, Brown Books for Young Readers"
372,"Pesi Publishing, Inc."
373,Insight Kids
374,B&H Publishing Group
375,HACHETTE USA
376,TundraBooks(NY)
377,Thomas Nelson
378,Etch/Hmh Books for Young Readers
379,Margaret Ferguson Books
380,Toon Graphics
381,First Second
382,Hmh Young Readers Audio
383,Graphix
384,Button Books
385,Golden books
386,Mike Ludwig
387,Indie Publishing Group
388,Little Genius Books
389,Razorbill
390,애지
391,Balzer & Bray
392,Vintage Books USA
393,Clean Teen Publishing
394,Triumph Books (IL)
395,Defiance Press
396,Holiday House
397,Random House Disney
398,Knopf Books for Young Readers
399,Tiger Tales
400,Tiger Tales.
401,Sourcebooks Landmark
402,Green Writers Pr
403,A & Uc Publishing
404,Moondance Press
405,Paraclete Press (MA)
406,Firefly Books Ltd
407,Charlesbridge Pub Inc
408,HaymarketBooks
409,QEB Publishing
410,Doubleday Books for Young Readers
411,Viking Books for Young Readers
412,Neal Porter Books
413,Clarens Publishing
414,Grosset & Dunlap
415,Lake Union Publishing
416,NO EXIT PRESS
417,Random House
418,Transworld
419,William Morrow & Company
420,Harpercollins World
421,Swift Press
422,Headline Publishing Group
423,Dell
424,달리는곰셋
425,더배우다
426,워너브라더스
427,북인
428,음악세계
429,Ballantine Books
430,위포트
431,책과사람
432,휴먼컬처아리랑
433,윌비스(미래와사람 한림법학원)
434,세화(도서출판)
435,탑21북스(세학사)
436,마블로켓(계간지)
437,미디어버스
438,지식과교양(지교)
439,小峯書店
440,河出書房新社
441,エムピ-シ-
442,主婦の友社
443,辰巳出版
444,ロングセラ-ズ
445,"Charlesbridge Publishing,U.S."
446,TWOPONDS (투판즈)
447,Mit Kids Press
448,Second Story Press
449,Simon Spotlight
450,Little Bigfoot
451,Margaret K. McElderry Books
452,초여명
453,김해문인협회
454,루커스엔터
455,가디언
456,선한청지기
457,오트(AUGHT)
458,JYBooks
459,북랩
460,리스컴
461,도서출판문학마을
462,푸른사상
463,믹스커피
464,동양북스(동양문고)
465,아멜리에북스
466,지영북스
467,천그루숲
468,에프엔미디어
469,Fulton Books
470,열림원
471,페이지2(page2)
472,빅피시
473,포레스트북스
474,동아시아
475,윌북
476,新潮社
477,두리반
478,까만개
479,작품미디어
480,Random House Australia
481,三笠書房
482,わかさ出版
483,湖南文艺出版社
484,時代文藝出版社有限&#36131;任公司 原(吉林時代文藝出版社)
485,애플비
486,Miles Kelly Publishing Ltd
487,Beach Lane Books
488,Gibbs Smith
489,지만지(지식을만드는지식)
490,커뮤니케이션북스
491,김영사
492,아브라함음악사
493,오투북
494,아시아예술출판사
495,와이아트
496,National Geographic Society
497,Picture Window Books
498,언약의책
499,레진코믹스(레진엔터테인먼트)
500,서랍의날씨
501,청어
502,숨
503,福音館書店
504,쓰담
505,윌든
506,Apples & Honey Press
507,Sourcebooks Wonderland
508,Cottage Door Press
509,Worthy Kids
510,Nosy Crow
511,Charlesbridge Publishing
512,Quirk Books
513,Andrews McMeel Publishing
514,Firefly Books
515,Warne Frederick & Company
516,Little Hare Books
517,Schiffer Kids
518,Clavis Publishing
